Date,Price
"Feb 08, 2019",42.60
"Feb 07, 2019",42.73
"Feb 06, 2019",43.56
"Feb 05, 2019",43.55
"Feb 04, 2019",42.81
"Feb 01, 2019",41.63
"Jan 31, 2019",41.61
"Jan 30, 2019",41.31
"Jan 29, 2019",38.67
"Jan 28, 2019",39.08
"Jan 25, 2019",39.44
"Jan 24, 2019",38.17
"Jan 23, 2019",38.48
"Jan 22, 2019",38.33
"Jan 18, 2019",39.20
"Jan 17, 2019",38.97
"Jan 16, 2019",38.73
"Jan 15, 2019",38.27
"Jan 14, 2019",37.50
"Jan 11, 2019",38.07
"Jan 10, 2019",38.45
"Jan 09, 2019",38.33
"Jan 08, 2019",37.69
"Jan 07, 2019",36.98
"Jan 04, 2019",37.06
"Jan 03, 2019",35.55
"Jan 02, 2019",39.48
"Dec 31, 2018",39.44
"Dec 28, 2018",39.06
"Dec 27, 2018",39.04
"Dec 26, 2018",39.29
"Dec 24, 2018",36.71
"Dec 21, 2018",37.68
"Dec 20, 2018",39.21
"Dec 19, 2018",40.22
"Dec 18, 2018",41.52
"Dec 17, 2018",40.98
"Dec 14, 2018",41.37
"Dec 13, 2018",42.74
"Dec 12, 2018",42.27
"Dec 11, 2018",42.16
"Dec 10, 2018",42.40
"Dec 07, 2018",42.12
"Dec 06, 2018",43.68
"Dec 04, 2018",44.17
"Dec 03, 2018",46.20
"Nov 30, 2018",44.65
"Nov 29, 2018",44.89
"Nov 28, 2018",45.23
"Nov 27, 2018",43.56
"Nov 26, 2018",43.66
"Nov 23, 2018",43.07
"Nov 21, 2018",44.20
"Nov 20, 2018",44.24
"Nov 19, 2018",46.47
"Nov 16, 2018",48.38
"Nov 15, 2018",47.85
"Nov 14, 2018",46.70
"Nov 13, 2018",48.06
"Nov 12, 2018",48.54
"Nov 09, 2018",51.12
"Nov 08, 2018",52.12
"Nov 07, 2018",52.49
"Nov 06, 2018",50.94
"Nov 05, 2018",50.40
"Nov 02, 2018",51.87
"Nov 01, 2018",55.55
"Oct 31, 2018",54.72
"Oct 30, 2018",53.33
"Oct 29, 2018",53.06
"Oct 26, 2018",54.08
"Oct 25, 2018",54.95
"Oct 24, 2018",53.77
"Oct 23, 2018",55.68
"Oct 22, 2018",55.16
"Oct 19, 2018",54.83
"Oct 18, 2018",54.01
"Oct 17, 2018",55.30
"Oct 16, 2018",55.54
"Oct 15, 2018",54.34
"Oct 12, 2018",55.53
"Oct 11, 2018",53.61
"Oct 10, 2018",54.09
"Oct 09, 2018",56.72
"Oct 08, 2018",55.94
"Oct 05, 2018",56.07
"Oct 04, 2018",57.00
"Oct 03, 2018",58.02
"Oct 02, 2018",57.32
